Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Beeline 2,Barricade,One,Normal,60,162627,29,8B 8C G 8A 9A G 5C 5A G 10D 3B G 18B 3A G 4B 16A G 16D 2B G 12A 12D G 10A 14D G 13C 13B G 15C 13A G 14B 7A G 14A 11A G 11D 15A G 6C 12B G 5A 6A G 1C 11D G 5A 6D G 20A 15B G 12A 19D G
Monte Carlo Beeline 3,Tile Skipper,One,Normal,39,203981,28,8A 20D G 6B 14D G 1B 6C G 1A 18A G 5B 2B G 2C 2A G 10B 4B G 4C 10C G 13D 1C G 7A 15D G 14C 7C G 7B 12B G 11C 3B G
Barricade,Monte Carlo Beeline 2,Two,Normal,60,169469,15,4D 4C G 1B 1A G 2B 16C G 10D 5B G 4A 9C G 3C 3A G 8D 18A G 18B 9A G 14B 19D G 11A 5A G 10C 17D G 17A 15A G 10B 8A G 6A 6C G 6B 13D G 13C 14A G 2B 9B G 13A 8D G 8D 12A G 19C 12D G
Monte Carlo Tree Search,Tile Skipper,One,Normal,48,221594,8,3A 20D G 6B 17A G 18D 6C G 1A 17A G 9D 2B G 2C 20A G 13B 4B G 1B 16A G 12C 2A G 4C 10C G 11B 7A G 7D 17A G 13D 4A G 10B 3C G 18B 14A G 14C 20A G
Deep Beeline,Monte Carlo Beeline 3,Two,Normal,78,380059,24,7A 2A G 13D 19A G 3B 16B G 9C 14C G 11D 20B G 20D 4B G 8A 4A G 19B 1C G 16A 5C G 15A 18B G 4C 3C G 17A 17D G 10D 10A G 6A 5A G 17D 1D G 10C 8C G 16D 20D G 13B 17D G 18B 9A G 13A 18B G 17D 20D G 15B 18B G 17D 15A G 17D 18B G 3A 6A G 5C 18D G
Monte Carlo Beeline 3,Deep Beeline,One,Normal,39,139977,60,16A 3C G 4A 18D G 6B 9A G 3B 7C G 20B 8C G 8A 13A G 12C 13D G 14D 10B G 5C 18B G 14A 19A G 19B 13B G 6D 19D G 1A 10C G
Monte Carlo Beeline 3,Bee Line,One,Normal,51,192269,59,15D 4D G 20D 5A G 1C 1B G 5B 19C G 1A 7C G 4B 6D G 18C 16C G 2B 13C G 11D 17C G 3D 8D G 2C 16A G 16D 12B G 14A 13D G 8B 13A G 12D 16D G 8A 12C G 12A 3C G
Tile Skipper,Monte Carlo Tree Search,Two,Normal,45,195152,79,20D 12B G 2D 6B G 6C 13C G 18C 1A G 2B 1B G 2C 3A G 4D 9A G 4C 6A G 1D 14C G 12A 5A G 10A 16B G 1B 3C G 7B 11C G 19B 14B G 18B 2C G
Monte Carlo Beeline 2,Kitty Corner,One,Normal,45,97108,56,15A 9A G 4A 4B G 16B 5A G 1A 17D G 13D 6A G 11A 18A G 4C 5D G 5C 1D G 16C 11B G 9B 7C G 11C 9C G 6C 2D G 12D 5D G 1B 3A G 7B 9C G
Monte Carlo Tree Search,Monte Carlo Beeline 1,One,Normal,66,364463,33,9B 1D G 11B 12C G 7B 8B G 3B 13D G 3A 17D G 20B 20D G 7D 11C G 3C 16D G 20A 8C G 16C 4D G 17A 9D G 4C 14B G 10C 5D G 16A 16D G 16A 15D G 17B 14C G 13B 8D G 8B 7B G 20C 18B G 8C 16D G 17C 18B G 8B 12B G
