Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Beeline,Deep Beeline,One,Normal,63,11653,27,7D 7C G 14C 8C G 14D 15D G 10D 16D G 12C 7B G 4C 19C G 4B 9A G 19D 11A G 7A 15A G 17B 14B G 18C 16B G 2A 20B G 17A 13A G 5A 11D G 13B 13C G 7C 6B G 20D 1D G 1B 20D G 19B 1B G 13C 6B G 19B 13A G
Random,Monte Carlo Beeline,Two,Normal,48,11800,68,18A 7C G 20C 8B G 1A 1B G 16B 5B G 15A 20B G 17C 4C G 10A 17D G 14A 1A G 15B 17B G 13C 11A G 3C 10D G 4A 9D G 9A 19C G 12A 11C G 3B 3A G 13B 15C G
Deep Beeline,Random,One,Normal,45,1516,77,20B 3A G 15B 4C G 5C 9A G 13C 15D G 20D 13A G 14D 4A G 5A 3B G 13B 20C G 8D 11D G 15B 10A G 7A 19A G 3B 11A G 2A 19C G 6D 1B G 16D 19A G
Barricade,Monte Carlo Beeline,Two,Normal,63,12213,27,7D 7C G 13D 7A G 2D 16D G 14D 11B G 13A 9C G 4C 4A G 9D 5A G 20C 7B G 18A 19D G 10B 17D G 12C 5C G 10D 14C G 19A 19B G 15D 15B G 10A 18D G 1D 15C G 6A 1B G 1B 13C G 2C 17A G 19A 6A G 12B 14C G
Monte Carlo Beeline,Kitty Corner,One,Normal,42,1611,62,16C 19A G 14A 3A G 8C 9A G 4A 11A G 7A 20A G 15A 16B G 16A 10A G 5A 17A G 2B 6A G 1A 18A G 2D 2A G 6B 13B G 13A 19D G 20C 1B G
Deep Beeline,Monte Carlo Beeline,Two,Normal,54,2720,65,17B 17C G 9C 9A G 5C 5B G 18A 6B G 11B 7B G 8B 4C G 10C 2A G 6C 11D G 16A 19C G 5D 13A G 14A 17D G 14D 12A G 19A 15A G 1C 3D G 7D 19D G 20A 10A G 19B 3A G 5A 12A G
Bee Line,Kitty Corner,Two,Normal,42,100,50,13C 13A G 8A 9C G 9A 3A G 2A 4A G 4B 1A G 6A 17B G 6D 2D G 2C 18A G 11C 8B G 3D 11B G 11A 8C G 6C 17A G 17C 3A G 20B 16D G
Tile Skipper,Random,One,Normal,42,100,79,20D 7B G 6C 6B G 6D 5D G 18D 1A G 2B 15A G 10D 2C G 4B 3C G 7A 1B G 1C 9A G 12D 3B G 3D 2A G 9C 4A G 4D 8B G 12D 8A G
Tile Skipper,Bee Line,Two,Normal,36,1913,79,20D 3B G 8A 6B G 6C 19B G 8D 1A G 2B 3A G 18C 2C G 4B 18B G 3C 1B G 2A 20B G 13D 3D G 4C 18A G 8D 7A G
Tile Skipper,Barricade,Two,Normal,63,2016,79,20D 6D G 20A 6B G 6C 6A G 11D 1A G 2B 1B G 1C 2C G 4B 1D G 5B 4C G 7A 5D G 16A 8C G 7D 2A G 4A 3C G 7B 3A G 12D 8B G 9A 9C G 16D 9B G 10A 19A G 19C 13C G 14C 14D G 13D 18A G 17A 18D G
